,Staphylococcus,Streptococcus,Veillonella,Prevotella,Streptococcus,Pseudomonas,Streptococcus,Rothia,Neisseria,Actinomyces,Prevotella,Pasteurellaceae_unclassified,Gemella,Parvimonas,Rothia,Fusobacterium,Porphyromonas,Lactobacillales_unclassified,Haemophilus,Prevotella,Actinomyces,Leptotrichia,Streptococcus,Fusobacterium,Veillonella,Atopobium,Actinomyces,Prevotellaceae_unclassified,Fusobacterium,Firmicutes_unclassified,Prevotella,Capnocytophaga,Prevotellaceae_unclassified,Porphyromonas,Peptostreptococcus,Bifidobacterium,Burkholderia,Burkholderia,Capnocytophaga,Prevotella,Prevotella,Streptococcus,Megasphaera,Alloprevotella,Stomatobaculum,Stenotrophomonas,Prevotella,Scardovia,Prevotella,Lachnoanaerobaculum,Prevotella,Oribacterium,Leptotrichia,Prevotella,Bacteroidetes_unclassified,Solobacterium,Achromobacter,Prevotella
J0275,0.579958426,0.112536736,0.014192531,0.005089241,0.030965522,0.000143359,0.029388574,0.009246649,0.016629632,0.002293742,0.005519318,0.009390008,0.010035123,0.000215038,0.028815139,0,0,0.001218551,0.082144649,0.002293742,0.014479249,0,0.000215038,0.008458175,0.000215038,0.000645115,0,0,7.17E-05,0,0.004014049,7.17E-05,7.17E-05,0,0.000501756,0,0,7.17E-05,0.001146871,0,0,0,7.17E-05,0,0,0,0,0.002795499,0.006164433,7.17E-05,0,0,0,0,0,7.17E-05,0.000215038,0
J0288,6.14E-05,0.199828105,0.110933759,0.104364909,0.048069249,0.215605623,0.053840015,0.012892136,0.000122782,0.054638099,0.004604334,0,0.019399595,0.003376512,0.027748788,0.000122782,0,0.010436491,6.14E-05,0.000920867,0.009699797,6.14E-05,0.001043649,0.009883971,0.014119958,0.001411996,6.14E-05,0,0,0,0.002332863,6.14E-05,0.007182761,6.14E-05,0.001534778,0.001596169,0,0,0,0.006261895,0.006998588,0,0.018294555,0.001043649,0.00325373,0,0,0.003069556,0.007305544,0.00221008,0,0.001903125,0,0,0.000491129,0.00110504,0.000122782,0.000920867
J0295,0.035297729,0,0.04941682,0.303560467,0.284530387,0,0,0.080417434,0.000306937,0,0.006752609,0,0,0,0,0,0,0,0,0.002148557,0,0,0.005524862,0.003069368,0,0,0,0,0,0.001841621,0.002148557,0,0.001841621,0,0,0.003683241,0,0,0,0.005831799,0.017188459,0,0,0.000613874,0.014732965,0.124309392,0,0.00092081,0,0.007980356,0,0,0,0.00092081,0,0.011049724,0,0
J0317,0.000129571,0.32224209,0.066793646,0.028544404,0.033766099,0,0.148630439,0.028557361,0.007761279,0.011829796,0.008318433,0.025434709,0.016001969,0.010909845,0.005856591,0.010197206,0.004677499,0.008940372,0.008448003,0.001969473,0.01282749,0.000531239,0.008162948,0.006867242,0.006957941,0.006672886,0.005610407,0.000544197,0.001114307,0.007333696,0.006491487,0.000647853,0.001010651,0.002682111,0.00295421,0.00088108,0,2.59E-05,0.000375755,0.000362798,0.006050947,0,0.003381793,0.015315245,0.000738552,1.30E-05,0.001166135,0.000544197,0.012982974,0.001010651,0.015172718,0.000712638,0.000673767,0.013462386,0.000129571,0.000116614,2.59E-05,0.000246184
J0321,0.000258576,0.156438545,0.026978107,0.094207895,0.062403034,0.514221686,0.01904844,0.037062575,0.000344768,0.000517152,0.001034304,0.000172384,0.00043096,8.62E-05,0.010515428,0,0.000258576,0,0,0.001292881,0.004912946,0,8.62E-05,0.002068609,0,0.000172384,0,8.62E-05,0.000172384,0,0.000172384,0.008188243,0.005343906,0.001896225,0.000344768,0,0,0,0.004481986,0.000689536,0.002240993,0.000172384,0,0.00086192,0.000689536,8.62E-05,0.003878642,0,0.002068609,0.000344768,0,0.001723841,0,0.000344768,0,0.004568178,0.000689536,0
J0324,0.683158896,0.00190295,0.013320647,0.026641294,0.000951475,0.00190295,0.063748811,0.151284491,0,0.002854424,0.007611798,0.000951475,0,0,0,0,0,0.006660324,0,0.005708849,0,0,0,0.005708849,0,0,0,0,0,0,0.006660324,0,0,0,0,0,0,0,0,0,0,0,0,0.010466223,0,0,0.000951475,0,0,0,0,0,0,0,0.005708849,0,0,0
J0329,8.23E-06,0.155648846,0.089928798,0.090085196,0.028431494,0.00022225,0.035074289,0.050532988,0.125908548,0.018981767,0.001308804,0.070700086,0.062822571,0.010544512,0.004379141,0.001135943,0.000428036,0.031106721,0.003333745,0,0.000938387,0.020726839,9.05E-05,0.006585175,0.000716138,0.002741079,0.003704161,5.76E-05,0.02482611,0.000395111,0,0.016133679,0.021393588,0.017557723,0.003029181,0,0,8.23E-06,0.011408816,0.015697411,0.003786476,0,0.005383381,0.000913693,0,7.41E-05,0.008478413,0,0.000460962,0,0,0.006420546,0.001144174,0,0.000238713,0.002469441,4.12E-05,0
J0371,0.223468289,0.103085598,0.107964265,0.095292403,0.025217006,0,0.030159032,0.019894824,0,0.028384971,0.000443515,0.062598999,0.028828486,0,0.006716087,0,0.000316797,0.008553507,0.005765697,0,0.004435152,0.053411899,0.000253437,0.000506874,0.00088703,0.000443515,0,0,0.022682633,0,0,0.000506874,0.014319204,0.023252867,0.0183742,0,0,0,0.00278781,0.021415447,0.001267186,0,0,0,0,0,0.009630615,0,6.34E-05,0,0,0.004498511,0.007286321,0,0.004878667,0.001647342,0.000126719,0.000316797
J0376,0.870732464,0.015983861,0.022811918,0.007914339,0.019087523,0.000310366,0.017070143,0.007759156,0.008069522,0.001551831,0.000155183,0,0.001707014,0.000465549,0.013811297,0,0.000465549,0.002327747,0,0.000155183,0.005276226,0,0.000310366,0.000310366,0.000620732,0,0,0.000155183,0,0.000155183,0,0,0,0,0,0,0,0.000155183,0,0,0,0,0,0,0.000931099,0.000310366,0,0,0,0,0,0,0,0,0,0,0.000155183,0
J0389,0.250451264,0.000902527,0.015794224,0.021209386,0.072202166,0,0.008574007,0.020306859,0,0,0.383122744,0,0.025270758,0,0.000451264,0.000451264,0,0.000451264,0,0,0.005415162,0,0.047833935,0.123646209,0,0.002707581,0,0,0.001805054,0,0.001353791,0,0.000902527,0.002707581,0,0,0,0,0.000451264,0,0,0,0,0,0,0,0,0.000902527,0.003158845,0,0,0,0,0,0,0.000451264,0,0
